"PC1","PC2","PC3","celltype"
-0.202964701718516,-0.16859494964604,-0.964562632912017,"neoblast 1"
0.258798474306802,-0.158983211166668,-0.95275793791687,"gut progenitors"
-0.339249166539516,-0.355989371254995,-0.870736223293666,"neoblast 1"
-0.124994542010836,-0.336065547831427,-0.933507531854063,"neoblast 1"
-0.407918363012597,0.517884542555151,-0.751929657414552,"early epidermal progenitors"
-0.629420561994447,-0.350698978947913,-0.693426263061536,"neoblast 1"
-0.139192703835327,0.702394654665736,0.698045227973097,"late epidermal progenitors 2"
-0.60242401792189,-0.154042254259248,-0.783170662457153,"neoblast 1"
-0.0144193950445735,0.525596851434859,0.850611562823073,"late epidermal progenitors 2"
-0.469729251372125,-0.604051771628638,-0.643798017702514,"neoblast 1"
-0.0374863841916421,0.0518614562153573,-0.997950479913437,"gut progenitors"
-0.12059062803856,-0.380335203132075,-0.916953125131132,"neoblast 1"
-0.645206115208047,0.0383282781299714,-0.763046533308245,"neoblast 1"
-0.2388646033149,-0.432485054429357,-0.869425315354028,"neoblast 1"
-0.431508703673592,-0.167401555073638,-0.886440611667169,"neoblast 1"
0.855201465537596,-0.465342455903614,-0.228225441342419,"ldlrr-1+ parenchymal cells"
-0.359669167083643,0.174866248163413,-0.916547808628993,"neoblast 1"
-0.0169017702829812,0.717503480558941,0.696349829860759,"late epidermal progenitors 2"
0.3984263829705,-0.0996813022253701,-0.911767544574657,"early epidermal progenitors"
-0.164706837571733,-0.180052050422496,-0.969769517357487,"neoblast 1"
-0.0802346304454497,-0.994420595586904,0.0684841817492827,"neoblast 1"
-0.326638363471206,-0.155228630561876,-0.932315103257872,"secretory 4"
-0.51589096939426,-0.310801402366385,-0.798285034298238,"neoblast 1"
-0.357752683100951,-0.304901530337252,-0.882637000432268,"neoblast 1"
-0.241619040843172,0.565016045244166,-0.788908808240007,"early epidermal progenitors"
0.121365267543053,0.0562016275344365,0.991015564406878,"epidermis"
-0.293625533223485,-0.587496764470327,-0.75407665258654,"neoblast 1"
-0.465476538901567,0.226747726783384,-0.855521513540592,"neoblast 1"
0.10026404830585,0.193628262240203,-0.975938121337189,"neoblast 1"
0.562166710048829,-0.492033652476346,-0.664734138542367,"parenchymal progenitors"
-0.227315306184211,0.00200371528933801,-0.973819149893561,"neoblast 1"
0.756574401680002,-0.448612014400838,-0.475754595624434,"ldlrr-1+ parenchymal cells"
0.272573400280252,-0.369434728757693,-0.888381518632277,"gut progenitors"
0.887221371506162,-0.455579514478868,-0.072701746402162,"pgrn+ parenchymal cells"
-0.432646967611959,-0.276584909913681,0.858089382887481,"late epidermal progenitors 2"
-0.0455062698627307,0.000944552151233596,-0.998963606556522,"neoblast 1"
0.892967709236405,-0.436110590002341,0.111428109330172,"phagocytes"
-0.27513500800578,-0.092450508753082,-0.956950171535047,"neoblast 1"
-0.663242476859178,-0.374363453538815,-0.648044305232439,"neoblast 1"
0.505802734241973,-0.131158436853259,-0.852620113811276,"gut progenitors"
-0.666195626911732,0.635834846603214,-0.389740214153932,"neoblast 1"
-0.507623583710822,-0.854561403007904,-0.109741085058168,"neoblast 1"
-0.359633451450251,0.0806748477897889,-0.92959956407696,"neoblast 1"
-0.403826361225564,0.33372223738301,-0.851794422531281,"neoblast 1"
-0.388415483505176,-0.0238899747362356,-0.921174620406219,"neoblast 1"
-0.554890029412249,-0.651966578099567,-0.516755876889672,"muscle progenitors"
-0.39584287324431,-0.499027321499271,-0.77089568172286,"neoblast 1"
-0.068904021217203,0.0152674915664324,-0.997506460912092,"neoblast 1"
-0.113747949202965,0.0556563564692283,-0.991949481595051,"neoblast 10"
-0.157598024443975,0.276684222425826,-0.947949736933331,"neoblast 1"
-0.202783812087808,0.186202064133601,-0.961357122440731,"neoblast 1"
-0.333437407670504,-0.302690389724409,-0.892859464380851,"neoblast 1"
0.0531190797491821,0.568288342301501,0.821113100230908,"late epidermal progenitors 2"
0.0819009401023475,0.397422364713801,0.913973577318099,"late epidermal progenitors 2"
-0.31513273994712,0.401107300313744,-0.860118764967048,"early epidermal progenitors"
-0.378347134539649,0.0310132304783752,-0.92514411056923,"neoblast 1"
-0.356219764131308,0.275956402950238,-0.892723665706808,"neoblast 1"
-0.271126853438008,-0.0591052105457226,-0.960727226340105,"neoblast 1"
-0.140925106158459,-0.385173285098717,-0.912020643900394,"neoblast 1"
-0.292688940750017,-0.155833151631879,-0.943424195584949,"neoblast 1"
-0.332803863242523,-0.285405332014182,-0.898768816252949,"neoblast 1"
-0.100207607297252,0.862750050942167,0.495601437688641,"late epidermal progenitors 1"
-0.488052146389316,0.255130093925282,-0.834693798694143,"neoblast 1"
0.73562099160196,-0.582429359941773,-0.345886971989936,"ldlrr-1+ parenchymal cells"
0.514745374052462,-0.168124095114391,-0.8406970254102,"gut progenitors"
-0.263160009143258,-0.0825722034018532,-0.96121206859521,"neoblast 1"
-0.288477235260562,0.206876903844965,0.934870489101,"otf+ cells 2"
-0.0368145489666077,0.0276018009590098,-0.99894085388886,"neoblast 1"
-0.690413225689688,-0.565658220001249,-0.450954937812835,"neoblast 1"
-0.411755221793972,0.0559679330731658,-0.909574201367274,"neoblast 1"
0.084127610528579,0.853031386892725,-0.515033977638977,"early epidermal progenitors"
-0.212685181731646,0.303268405770097,-0.928866668329444,"neoblast 1"
-0.118714601757335,-0.678291596415462,-0.72513954075182,"neoblast 10"
-0.700953103167737,0.241823501143884,-0.670959120553581,"neoblast 1"
-0.0758741116216704,0.991885148484123,0.102014564657465,"early epidermal progenitors"
0.132327560217451,0.128075992823626,-0.982896717294925,"neoblast 10"
-0.416919983104912,0.234142229519037,-0.878268264281281,"secretory 1"
-0.121165317952274,-0.471123880730862,-0.87370547367555,"neoblast 1"
-0.423411224936216,0.431299317948593,-0.796683019108034,"neoblast 1"
-0.165407965360584,-0.133380370551802,-0.977164204085852,"neoblast 1"
-0.341299888967889,-0.0641195992180986,-0.937764929386153,"neoblast 1"
-0.110492067948427,0.145250575221029,-0.983205865176993,"neoblast 1"
-0.318844234122364,0.378238358796722,-0.869065071385155,"neoblast 1"
-0.346406041147451,-0.0116444862546659,-0.938012398956653,"neoblast 1"
-0.601182479015055,0.279942300039558,-0.748473069371153,"neoblast 1"
-0.51588261461454,-0.294904205411277,-0.804298848419671,"neoblast 1"
0.165344407487832,0.340836633731257,0.925468322536889,"epidermis"
-0.0402309616577777,-0.908366938552626,0.416234278584333,"neoblast 1"
-0.327557653900881,-0.0189849711423653,-0.944640436484525,"neoblast 1"
-0.606333338353956,0.421603447643399,-0.6742480372502,"neoblast 1"
0.923189034572027,-0.375996339479054,-0.079679101051154,"phagocytes"
-0.232606161232981,0.0343617673873228,-0.971963807298644,"neoblast 1"
-0.308772563294615,-0.0909272623700566,-0.94677966661434,"secretory 4"
-0.126158685834895,0.39499007718957,-0.90998177174611,"neoblast 1"
-0.6797507951287,0.0938917912485564,-0.727408542744748,"neoblast 1"
-0.396000918667384,-0.199247802078273,-0.896372459294442,"neoblast 1"
0.35048129847226,-0.0974654263145985,-0.931484487307498,"gut progenitors"
-0.185659313698794,-0.0510650915735105,-0.981286388196372,"neoblast 1"
-0.69085397966504,-0.636579546250881,-0.342764146427248,"muscle progenitors"
-0.313472464624151,0.940282550146553,0.132679085813683,"early epidermal progenitors"
-0.316400819770049,0.0539114130384886,-0.947092435189424,"neoblast 1"
-0.513621162113086,0.433922025764217,-0.740206037118234,"neoblast 1"
-0.262947282140704,0.113810732175522,-0.958074028484484,"neoblast 1"
-0.137351750277903,-0.181112932087,-0.973823701974052,"neoblast 1"
